From Resource A,To Resource B,Why? To Answer Question X,Suggested By,Status (Exists / Ongoing / Proposed),
3D Slicer,RADIOMICS.io,Interactive interface to the command-line/batch processing tools,Andrey Fedorov,Exists,
3D Slicer,The Cancer Imaging Archive (TCIA),Use 3D Slicer as an interface to access TCIA-hosted data,Andrey Fedorov,Ongoing,
Bioconductor,OmniSearch,A new set of cancer genomic analysis tasks that can be readily integrated with existing Bioconductor tools,Jingshan Huang,Proposed,
Bioconductor,OmniSearch,GEO data from Bioconductor through its AnnotationHub and ExperimentHub,Jingshan Huang,Proposed,
Bioconductor,cBioPortal,Bioconductor Package of loading genomics and clinical data from the cBioPortal API,JJ Gao,Proposed,
Bioconductor,Clinical Interpretation of Variants in Cancer (CIViC) Knowledgebase,Place statistically supported results into biological context,mtmorgan,Proposed,
Bioconductor,Integrative Genomics Viewer (IGV),"Visualize (and update) computed results, like epivizr",mtmrogan,Proposed,
Bioconductor,The Network Data Exchange (NDEx),R client available as a Bioconductor package for programmatic access to the NDEx REST API,Rudi Pillich,Exists,
HIVE (BioExpress),The Cancer Proteome Atlas (TCPA),Map to Cancer-DO Slim and identify genes that have concordance of RNA-seq and protein chip data across cancers,Mazumder/Crichton,Proposed,
HIVE (BioMuta),Clinical Interpretation of Variants in Cancer (CIViC) Knowledgebase,"Link from OncoMX mutations to CIViC record, when available",Mazumder/Crichton,Proposed,
BMEG,The Network Data Exchange (NDEx),Ingest network models into evidence graph,Josh Stuart,Proposed,
BMEG,XNAT,Connect radiomics data with other biomedical evidence,Juli Klemm,Proposed,
Cancer and Phenomics Toolkit (CaPTK),dcmqi: DICOM for Quantitative Imaging,Conversion of the analysis results into structured and standardized format,Andrey Fedorov,Ongoing,
Cancer and Phenomics Toolkit (CaPTK),3D Slicer,Make CaPTk functionality available as Slicer Plugin,Christos Davatzikos,Ongoing,
Cancer and Phenomics Toolkit (CaPTK),LesionTracker Web Image Viewer,Integrate segmentation and radiomic features of CaPTk into LesionTracker,Christos Davatzikos,Proposed,
Cancer and Phenomics Toolkit (CaPTK),XNAT,Integrate CaPTk pipelines into XNAT workflows,Christos Davatzikos,Proposed,
Cancer Digital Slide Archive (CDSA),Cancer and Phenomics Toolkit (CaPTK),Common python image feature set,Gutman/Cooper,Proposed,
Cancer Digital Slide Archive (CDSA),Patient-Derived Xenograft Finder (PDX Finder),Mouse phenotype histology portal,Gutman/Cooper,Proposed,
Cancer Digital Slide Archive (CDSA),RADIOMICS.io,Common python image feature set,Gutman/Cooper,Proposed,
Cancer-Related Analysis of Variants Toolkit (CRAVAT),Trinity,Variant annotation - 3D structure with variants,Brian Haas,Ongoing,
cBioPortal,Patient-Derived Xenograft Finder (PDX Finder),Cross-linking the PDX samples in the two resources,JJ Gao,Proposed,
cBioPortal,UCSC Xena,Co-develop Javascript lib for survival analysis,JJ Gao,Proposed,
CLAMP-Cancer,OmniSearch,Use CLAMP to develop literature mining pipelines,Hua Xu,Proposed,
CLAMP-Cancer,Text Information Extraction System (TIES),Use CLAMP NLP modules for TIES,Hua Xu,Proposed,
Clinical Interpretation of Variants in Cancer (CIViC) Knowledgebase,Integrative Genomics Viewer (IGV),Provide CIViC variants as optional annotation track,Obi Griffith,Proposed,
Clinical Interpretation of Variants in Cancer (CIViC) Knowledgebase,Cancer-Related Analysis of Variants Toolkit (CRAVAT),Variant annotation - 3D structure with variants,Mike Ryan,Exists,
